DOI,title,authors,year,scholar_cluster_id,chemrxiv_id,source_orcids,author_overlap_count
10.1039/D3DD00070B,A transferable double exponential potential for condensed phase simulations of small molecules,Joshua T. Horton; Simon Boothroyd; Pavan Kumar Behara; David L. Mobley; Daniel J. Cole,2023,,,0000-0002-3456-1872; 0000-0003-2933-0719; 0000-0003-2933-0719; 0000-0002-1083-5533,3
10.26434/CHEMRXIV-2023-DWLF1-V2,Tuning Potential Functions to Host–Guest Binding Data,Jeffry Setiadi; Simon Boothroyd; David Slochower; David Dotson; Matthew Thompson; Jeffrey Wagner; Lee-Ping Wang; Michael K. Gilson,2023,,,0000-0002-3375-1738,3
10.26434/CHEMRXIV-2023-DWLF1,Tuning Potential Functions to Host–Guest Binding Data,Jeffry Setiadi; Simon Boothroyd; David Slochower; David Dotson; Matthew Thompson; Jeffrey Wagner; Lee-Ping Wang; Michael K. Gilson,2023,,,0000-0002-3375-1738,3
10.1021/ACS.JCTC.1C01268,Improving Force Field Accuracy by Training against Condensed-Phase Mixture Properties,Simon Boothroyd; Owen C. Madin; David L. Mobley; Lee-Ping Wang; John D. Chodera; Michael R. Shirts,2022,,,0000-0002-3456-1872; 0000-0003-3249-1097; 0000-0003-3249-1097,3
10.1021/ACS.JCTC.1C01111,"Open Force Field Evaluator: An Automated, Efficient, and Scalable Framework for the Estimation of Physical Properties from Molecular Simulation",Simon Boothroyd; Lee-Ping Wang; David L. Mobley; John D. Chodera; Michael R. Shirts,2022,,,0000-0002-3456-1872; 0000-0002-1083-5533; 0000-0003-3249-1097; 0000-0003-3249-1097,3
10.1007/S10822-020-00290-5,The SAMPL6 SAMPLing challenge: assessing the reliability and efficiency of binding free energy calculations,Andrea Rizzi; Travis Jensen; David R. Slochower; Matteo Aldeghi; Vytautas Gapsys; Dimitris Ntekoumes; Stefano Bosisio; Michail Papadourakis; Niel M. Henriksen; Bert L. de Groot; Zoe Cournia; Alex Dickson; Julien Michel; Michael K. Gilson; Michael R. Shirts; David L. Mobley; John D. Chodera,2020,,,0000-0002-1083-5533; 0000-0003-3249-1097,3
10.1021/ACS.JCTC.8B00821,Toward Learned Chemical Perception of Force Field Typing Rules,Camila Zanette; Caitlin C. Bannan; Christopher I. Bayly; Josh Fass; Michael K. Gilson; Michael R. Shirts; John D. Chodera; David L. Mobley,2019,,,0000-0002-1083-5533; 0000-0002-3375-1738; 0000-0003-3249-1097; 0000-0003-3249-1097,3
10.1101/795005,The SAMPL6 SAMPLing challenge: Assessing the reliability and efficiency of binding free energy calculations,Andrea Rizzi; Travis Jensen; David R. Slochower; Matteo Aldeghi; Vytautas Gapsys; Dimitris Ntekoumes; Stefano Bosisio; Michail Papadourakis; Niel M. Henriksen; Bert L. de Groot; Zoe Cournia; Alex Dickson; Julien Michel; Michael K. Gilson; Michael R. Shirts; David L. Mobley; John D. Chodera,2019,,,0000-0003-3249-1097,3
10.1021/ACS.JCTC.8B00640,Escaping Atom Types in Force Fields Using Direct Chemical Perception,David L. Mobley; Caitlin C. Bannan; Andrea Rizzi; Christopher I. Bayly; John D. Chodera; Victoria T. Lim; Nathan M. Lim; Kyle A. Beauchamp; David R. Slochower; Michael R. Shirts; Michael K. Gilson; Peter K. Eastman,2018,,,0000-0002-1083-5533; 0000-0003-3249-1097; 0000-0003-3249-1097,3
10.26434/CHEMRXIV.6230627.V1,Toward Learned Chemical Perception of Force Field Typing Rules,Camila Zanette; Caitlin C. Bannan; Christopher I. Bayly; Josh Fass; Michael K. Gilson; Michael R. Shirts; John Chodera; David L. Mobley,2018,,,0000-0002-1083-5533; 0000-0003-3249-1097,3
10.1101/286542,Open Force Field Consortium: Escaping atom types using direct chemical perception with SMIRNOFF v0.1,David L. Mobley; Caitlin C. Bannan; Andrea Rizzi; Christopher I. Bayly; John D. Chodera; Victoria T. Lim; Nathan M. Lim; Kyle. A. Beauchamp; Michael R. Shirts; Michael K. Gilson; Peter K. Eastman,2018,,,0000-0002-1083-5533; 0000-0003-3249-1097,3
10.1007/S10822-016-9977-1,Lessons learned from comparing molecular dynamics engines on the SAMPL5 dataset,Michael R. Shirts; Christoph Klein; Jason M. Swails; Jian Yin; Michael K. Gilson; David L. Mobley; David A. Case; Ellen D. Zhong,2017,,,0000-0003-3249-1097,3
10.1007/S10822-017-0043-4,Erratum to: Lessons learned from comparing molecular dynamics engines on the SAMPL5 dataset,Michael R. Shirts; Christoph Klein; Jason M. Swails; Jian Yin; Michael K. Gilson; David L. Mobley; David A. Case; Ellen D. Zhong,2017,,,0000-0003-3249-1097,3
10.1007/S10822-016-9974-4,Overview of the SAMPL5 host–guest challenge: Are we doing better?,Jian Yin; Niel M. Henriksen; David R. Slochower; Michael R. Shirts; Michael W. Chiu; David L. Mobley; Michael K. Gilson,2017,,,0000-0003-3249-1097,3
10.1007/S10822-016-9954-8,Blind prediction of cyclohexane–water distribution coefficients from the SAMPL5 challenge,Caitlin C. Bannan; Kalistyn H. Burley; Michael Chiu; Michael R. Shirts; Michael K. Gilson; David L. Mobley,2016,,,0000-0002-1083-5533; 0000-0003-3249-1097,3
10.1101/077248,Lessons learned from comparing molecular dynamics engines on the SAMPL5 dataset,Michael R. Shirts; Christoph Klein; Jason M. Swails; Jian Yin; Michael K. Gilson; David L. Mobley; David A. Case; Ellen D. Zhong,2016,,,0000-0003-3249-1097,3
10.26434/CHEMRXIV-2025-4TMBZ,A graph neural network charge model targeting accurate electrostatic properties of organic molecules,Charlie Adams; Joshua Horton; Lily Wang; Simon Boothroyd; David Mobley; David Wright; Daniel Cole,2025,,,0000-0003-2933-0719,2
10.1021/ACS.JCTC.3C01050,Tuning Potential Functions to Host–Guest Binding Data,Jeffry Setiadi; Simon Boothroyd; David R. Slochower; David L. Dotson; Matthew W. Thompson; Jeffrey R. Wagner; Lee-Ping Wang; Michael K. Gilson,2024,,,0000-0002-3456-1872; 0000-0002-3375-1738,2
10.1021/ACS.JCTC.3C01171,"A Fast, Convenient, Polarizable Electrostatic Model for Molecular Dynamics",Liangyue Wang; Michael Schauperl; David L. Mobley; Christopher Bayly; Michael K. Gilson,2024,,,0000-0002-1083-5533; 0000-0002-3375-1738,2
10.2172/2367328,What are the Principles Controlling Biomimetic Heteropolymer Secondary Structure? (Final Technical Report),; Michael Shirts; ,2024,,,0000-0003-3249-1097,2
10.1021/ACS.JCIM.1C00829,Bayesian-Inference-Driven Model Parametrization and Model Selection for 2CLJQ Fluid Models,Owen C. Madin; Simon Boothroyd; Richard A. Messerly; Josh Fass; John D. Chodera; Michael R. Shirts,2022,,,0000-0002-3456-1872; 0000-0003-3249-1097; 0000-0003-3249-1097,2
10.1007/S10822-020-00344-8,Enhancing water sampling of buried binding sites using nonequilibrium candidate Monte Carlo,Teresa Danielle Bergazin; Ido Y. Ben-Shalom; Nathan M. Lim; Sam C. Gill; Michael K. Gilson; David L. Mobley,2021,,,0000-0002-1083-5533; 0000-0002-3375-1738,2
10.1038/S42004-020-0291-4,Non-bonded force field model with advanced restrained electrostatic potential charges (RESP2),Michael Schauperl; Paul S. Nerenberg; Hyesu Jang; Lee-Ping Wang; Christopher I. Bayly; David L. Mobley; Michael K. Gilson,2020,,,0000-0002-1083-5533; 0000-0002-3375-1738,2
10.33011/LIVECOMS.2.1.18378,Best Practices for Alchemical Free Energy Calculations [Article v1.0],Antonia S.J.S. Mey; Bryce K. Allen; Hannah E. Bruce Macdonald; John D. Chodera; David F. Hahn; Maximilian Kuhn; Julien Michel; David L. Mobley; Levi N. Naden; Samarjeet Prasad; Andrea Rizzi; Jenke Scheen; Michael R. Shirts; Gary Tresadern; Haufeng Xu,2020,,,0000-0002-1083-5533; 0000-0003-3249-1097,2
10.1021/ACS.JCTC.9B00748,Binding Thermodynamics of Host–Guest Systems with SMIRNOFF99Frosst 1.0.5 from the Open Force Field Initiative,David R. Slochower; Niel M. Henriksen; Lee-Ping Wang; John D. Chodera; David L. Mobley; Michael K. Gilson,2019,,,0000-0002-1083-5533; 0000-0002-3375-1738,2
10.33011/2.1.18378,Best Practices for Alchemical Free Energy Calculations [Article v1.0],Antonia S.J.S Mey; Bryce K. Allen; Hannah E. Bruce Macdonald; John D. Chodera; David F. Hahn; Maximilian Kuhn; Julien Michel; David L. Mobley; Levi N. Naden; Samarjeet Prasad; Andrea Rizzi; Jenke Scheen; Michael R. Shirts; Gary Tresadern; Huafeng Xu,2019,,,0000-0002-1083-5533,2
10.1007/S10822-018-0170-6,Overview of the SAMPL6 host–guest binding affinity prediction challenge,Andrea Rizzi; Steven Murkli; John N. McNeill; Wei Yao; Matthew Sullivan; Michael K. Gilson; Michael W. Chiu; Lyle Isaacs; Bruce C. Gibb; David L. Mobley; John D. Chodera,2018,,,0000-0002-1083-5533; 0000-0002-3375-1738,2
10.1101/371724,Overview of the SAMPL6 host-guest binding affinity prediction challenge,Andrea Rizzi; Steven Murkli; John N. McNeill; Wei Yao; Matthew Sullivan; Michael K. Gilson; Michael W. Chiu; Lyle Isaacs; Bruce C. Gibb; David L. Mobley; John D. Chodera,2018,,,0000-0002-1083-5533,2
10.1021/ACS.JCED.7B00104,Approaches for Calculating Solvation Free Energies and Enthalpies Demonstrated with an Update of the FreeSolv Database,Guilherme Duarte Ramos Matos; Daisy Y. Kyu; Hannes H. Loeffler; John D. Chodera; Michael R. Shirts; David L. Mobley,2017,,,0000-0002-1083-5533; 0000-0003-3249-1097; 0000-0003-3249-1097,2
10.1021/ACS.JCTC.5B00154,Correction to Small Molecule Hydration Free Energies in Explicit Solvent: An Extensive Test of Fixed-Charge Atomistic Simulations,David L. Mobley; Christopher I. Bayly; Matthew D. Cooper; Michael R. Shirts; Ken A. Dill,2015,,,0000-0002-1083-5533; 0000-0003-3249-1097; 0000-0003-3249-1097,2
10.1007/S10822-015-9840-9,Guidelines for the analysis of free energy calculations,Pavel V. Klimovich; Michael R. Shirts; David L. Mobley,2015,,,0000-0002-1083-5533; 0000-0003-3249-1097,2
10.1007/S10822-014-9735-1,The SAMPL4 host–guest blind prediction challenge: an overview,Hari S. Muddana; Andrew T. Fenley; David L. Mobley; Michael K. Gilson,2014,,,0000-0002-1083-5533,2
10.1021/CT800409D,Small Molecule Hydration Free Energies in Explicit Solvent: An Extensive Test of Fixed-Charge Atomistic Simulations,David L. Mobley; Christopher I. Bayly; Matthew D. Cooper; Michael R. Shirts; Ken A. Dill,2009,,,0000-0002-1083-5533; 0000-0002-1083-5533; 0000-0003-3249-1097,2
10.1021/JP0735987,Accurate and Efficient Corrections for Missing Dispersion Interactions in Molecular Simulations,Michael R. Shirts; David L. Mobley; John D. Chodera; Vijay S. Pande,2007,,,0000-0002-1083-5533; 0000-0002-1083-5533; 0000-0003-3249-1097; 0000-0003-3249-1097,2
10.1016/S1574-1400(07)03004-6,Chapter 4 Alchemical Free Energy Calculations: Ready for Prime Time?,Michael R. Shirts; David L. Mobley; John D. Chodera,2007,,,0000-0002-1083-5533; 0000-0003-3249-1097,2
10.1021/ACS.JCIM.5C02106,A Computational Community Blind Challenge on Pan-Coronavirus Drug Discovery Data,Hugo MacDermott-Opeskin; Jenke Scheen; Cas Wognum; Joshua T. Horton; Devany West; Alexander Matthew Payne; Maria A. Castellanos; Sean Colby; Edward Griffen; David Cousins; Jessica Stacey; Lauren Reid; Jasmin Cara Aschenbrenner; Daren Fearon; Blake Balcomb; Peter Marples; Charles W. E. Tomlinson; Ryan Lithgo; Andre S. Godoy; Max Winokan; Haim Barr; Noa Lahav; Michael Lavi; Shirley Duberstein; Galit Cohen; Gwendolyn Fate; Bruce Lefker; Ralph Robinson; Tamas Szommer; Nick Lynch; David D. L. Minh; Van Ngoc Thuy La; Lulu Kang; Kate Huddleston; Ryan Renslow; Mallory Tollefson; W. Patrick Walters; Cynthia Xu; Jonny Hsu; Julien St-Laurent; Honore Etsmoberg; Lu Zhu; Andrew Quirke; Mohamed Iliyas Abdul Haleem; Irfan Alibay; Gunjan Baid; Benjamin Birnbaum; Kevin P. Bishop; Hugo Bohorquez; Ashmita Bose; C. J. Brown; Jackson Burns; Lianjin Cai; Ruel Cedeno; Stephane de Cesco; Vladimir Chupakhin; Finlay Clark; Daniel J. Cole; Carles Corbi-Verge; Muhammad Danial; Alec Davi; Wim Dehaen; Niklas Piet Doering; Alexis Dougha; Marie-Pierre Dréanic; Bryce Eakin; Anatol Ehrlich; Rokas Elijosius; Jozef Fülöp; Anthony Gitter; Kenneth Goossens; Yaowen Gu; Teresa Head-Gordon; Laurent Hoffer; Johan Hofmans; Ellena Jiang; Benjamin Kaminow; Sina Khosravi; Asma Feriel Khoualdi; Eelke Bart Lenselink; Zhirong Liu; Yue Liu; Sijie Liu; Yizhou Ma; Patrick Maher; Imke Mayer; Oscar Mendez-Lucio; Antonia S. J. S. Mey; Julien Michel; Floriane Montanari; Taoyu Niu; Ryusei Ogino; Ashok Palaniappan; Xiaolin Pan; Auro Patnaik; Long-Hung Pham; Luis Pinto; Justin Purnomo; Alex Rich; Lars Schaaf; Christoph Schran; Rajeev Kumar Singh; Mounika Srilakshmi; Satya Pratik Srivastava; Kunyang Sun; Zhaoxi Sun; Valerij Talagayev; Balamurugan Thirukonda Subramanian Balakrishnan; Ida Titus; Alexandre Tkatchenko; Wojtek Treyde; Giovanni Tricarico; Austin Tripp; Nopsinth Vithayapalert; Yingze Wang; Azmine Toushik Wasi; Steffen Wedig; Gerhard Wolber; Bofei Xu; Weijun Zhou; Frank von Delft; Alpha Lee; Karla Kirkegaard; Peter Sjö; James S. Fraser; John D. Chodera,2026,,,0000-0003-2933-0719,1
10.1021/JACS.5C10940,Computing Solvation Free Energies of Small Molecules with Experimental Accuracy,J. Harry Moore; Daniel J. Cole; Gábor Csányi,2026,,,0000-0003-2933-0719,1
10.1021/ACS.JPCB.5C08189,A Quadrupolar Fullerene Model System for Benchmarking Enhanced Sampling of Trapped Waters in Free Energy Calculations,Swapnil Wagle; David L. Mobley,2026,,,0000-0002-1083-5533,1
10.1039/D5DD00464K,A simple compound prioritization method for drug discovery considering multi-target binding,Alžbeta Kubincová; David L. Mobley,2026,,,0000-0002-1083-5533,1
10.1002/PROT.70061,"Assessment of Pharmaceutical Protein–Ligand Pose and Affinity Predictions in
                    <scp>CASP16</scp>",Michael K. Gilson; Jerome Eberhardt; Peter Škrinjar; Janani Durairaj; Xavier Robin; Andriy Kryshtafovych,2026,,,0000-0002-3375-1738,1
10.64898/2026.02.26.708327,A Hidden Binding Pocket in the β- ketoacyl-ACP Synthase FabB,Ziran Jiang; Anika Friedman; Annette Thompson; Samuel J. Andrzejewski; Kathryn Mains; Banumathi Sankaran; Michael D. Burkart; Michael R. Shirts; Jerome M. Fox,2026,,,0000-0003-3249-1097,1
10.1021/ACS.JCTC.5C01464,Enhancing Electrostatic Embedding for ML/MM Free Energy Calculations,João Morado; Kirill Zinovjev; Lester O. Hedges; Daniel J. Cole; Julien Michel,2025,,,0000-0003-2933-0719,1
10.1098/RSPA.2024.0707,Riemannian geometry and molecular similarity II: Kähler quantization,Rachael Pirie; Stuart J. Hall; Daniel J. Cole; Thomas Murphy,2025,,,0000-0003-2933-0719,1
10.1021/ACS.JCIM.5C00535,CACHE Challenge #2: Targeting the RNA Site of the SARS-CoV-2 Helicase Nsp13,Oleksandra Herasymenko; Madhushika Silva; Abd Al-Aziz A. Abu-Saleh; Ayaz Ahmad; Jesus Alvarado-Huayhuaz; Oscar E. A. Arce; Roly J. Armstrong; Cheryl Arrowsmith; Kelly E. Bachta; Hartmut Beck; Denes Berta; Mateusz K. Bieniek; Vincent Blay; Albina Bolotokova; Philip E. Bourne; Marko Breznik; Peter J. Brown; Aaron D. G. Campbell; Emanuele Carosati; Irene Chau; Daniel J. Cole; Ben Cree; Wim Dehaen; Katrin Denzinger; Karina dos Santos Machado; Ian Dunn; Prasannavenkatesh Durai; Kristina Edfeldt; Aled Edwards; Darren Fayne; Daniel Felfoldi; Kallie Friston; Pegah Ghiabi; Elisa Gibson; Judith Günther; Anders Gunnarsson; Alexander Hillisch; Douglas R. Houston; Jan Halborg Jensen; Rachel J. Harding; Kate S. Harris; Laurent Hoffer; Anders Hogner; Joshua T. Horton; Scott Houliston; Judd F. Hultquist; Ashley Hutchinson; John J. Irwin; Marko Jukič; Shubhangi Kandwal; Andrea Karlova; Vittorio L. Katis; Ryan P. Kich; Dmitri Kireev; David Koes; Nicole L. Inniss; Uta Lessel; Sijie Liu; Peter Loppnau; Wei Lu; Sam Martino; Miles McGibbon; Jens Meiler; Akhila Mettu; Sam Money-Kyrle; Rocco Moretti; Yurii S. Moroz; Charuvaka Muvva; Joseph A. Newman; Leon Obendorf; Brooks Paige; Amit Pandit; Keunwan Park; Sumera Perveen; Rachael Pirie; Gennady Poda; Mykola Protopopov; Vera Pütter; Federico Ricci; Natalie J. Roper; Edina Rosta; Margarita Rzhetskaya; Yogesh Sabnis; Karla J. F. Satchell; Frederico Schmitt Kremer; Thomas Scott; Almagul Seitova; Casper Steinmann; Valerij Talagayev; Olga O. Tarkhanova; Natalie J. Tatum; Dakota Treleaven; Adriano Velasque Werhli; W. Patrick Walters; Xiaowen Wang; Jude Wells; Geoffrey Wells; Yvonne Westermaier; Gerhard Wolber; Lars Wortmann; Jixian Zhang; Zheng Zhao; Shuangjia Zheng; Matthieu Schapira,2025,,,0000-0003-2933-0719,1
10.1063/5.0237876,On the design space between molecular mechanics and machine learning force fields,Yuanqing Wang; Kenichiro Takaba; Michael S. Chen; Marcus Wieder; Yuzhi Xu; Tong Zhu; John Z. H. Zhang; Arnav Nagle; Kuang Yu; Xinyan Wang; Daniel J. Cole; Joshua A. Rackers; Kyunghyun Cho; Joe G. Greener; Peter Eastman; Stefano Martiniani; Mark E. Tuckerman,2025,,,0000-0003-2933-0719,1
10.1021/JACS.4C07099,MACE-OFF: Short-Range Transferable Machine Learning Force Fields for Organic Molecules,Dávid Péter Kovács; J. Harry Moore; Nicholas J. Browning; Ilyes Batatia; Joshua T. Horton; Yixuan Pu; Venkat Kapil; William C. Witt; Ioan-Bogdan Magdău; Daniel J. Cole; Gábor Csányi,2025,,,0000-0003-2933-0719,1
10.1039/D4DD00343H,Active learning driven prioritisation of compounds from on-demand libraries targeting the SARS-CoV-2 main protease,Ben Cree; Mateusz K. Bieniek; Siddique Amin; Akane Kawamura; Daniel J. Cole,2025,,,0000-0003-2933-0719; 0000-0003-2933-0719,1
10.1021/ACS.JCTC.4C01359,Robust Automated Truncation Point Selection for Molecular Simulations,Finlay Clark; Daniel J. Cole; Julien Michel,2025,,,0000-0003-2933-0719,1
10.1021/ACS.JCTC.5C00758,Advancing Binding Affinity Calculations: A Non-Equilibrium Simulations Approach for Calculation of Relative Binding Free Energies in Systems with Trapped Waters,Swapnil Wagle; Christopher I. Bayly; David L. Mobley,2025,,,0000-0002-1083-5533,1
10.1002/JCC.70112,Evaluating the Functional Importance of Conformer‐Dependent Atomic Partial Charge Assignment,Meghan Osato; Hannah M. Baumann; Jennifer Huang; Irfan Alibay; David L. Mobley,2025,,,0000-0002-1083-5533,1
10.1021/ACS.JCIM.4C02296,The Need for Continuing Blinded Pose- and Activity Prediction Benchmarks,Christian Kramer; John Chodera; Kelly L. Damm-Ganamet; Michael K. Gilson; Judith Günther; Uta Lessel; Richard A. Lewis; David Mobley; Eva Nittinger; Adam Pecina; Matthieu Schapira; W. Patrick Walters,2025,,,0000-0002-1083-5533; 0000-0002-3375-1738,1
10.1021/ACS.JPCB.4C07156,IMERGE-FEP: Improving Relative Free Energy Calculation Convergence with Chemical Intermediates,Linde Schoenmaker; Daan A. Jiskoot; Jenke Scheen; Evien Cheng; Vytautas Gapsys; David F. Hahn; Benjamin Ries; Gerard J.P. van Westen; David L. Mobley; Willem Jespers,2025,,,0000-0002-1083-5533,1
10.1002/CHEM.202404024,Partially Sulfated Pillar[5]Arenes: Synthesis and Molecular Recognition Properties,Ayona Goswami; Süleyman Selim Çınaroğlu; Noor Singh; Peter Y. Zavalij; David L. Mobley; Lyle Isaacs,2025,,,0000-0002-1083-5533,1
10.1021/ACS.JCIM.5C02175,Relative BAT: An Automated Tool for Relative Binding Free Energy Calculations by the Separated Topologies Approach,Germano Heinzelmann; David J. Huggins; Michael K. Gilson,2025,,,0000-0002-3375-1738,1
10.33011/LIVECOMS.6.1.3059,Quantifying Spatially Resolved Hydration Thermodynamics Using Grid Inhomogeneous Solvation Theory [v1.0],Valentin J. Egger-Hoerschinger; Franz Waibl; Vjay Molino; Helmut Carter; Monica Fernández-Quintero; Steven Ramsey; Daniel R. Roe; Klaus R. Liedl; Michael K. Gilson; Tom Kurtzman,2025,,,0000-0002-3375-1738,1
10.1021/ACS.JCTC.5C00603,"A Simple, Polarizable, Rigid, 3-Point Water Model Using the Direct Polarization Approximation",Liangyue W. Drew; Michael K. Gilson,2025,,,0000-0002-3375-1738,1
10.1021/ACS.JCTC.4C01707,Computation of Protein–Ligand Binding Free Energies with a Quantum Mechanics-Based Mining Minima Algorithm,Megan Schlinsog; Tosaporn Sattasathuchana; Peng Xu; Emilie B. Guidez; Michael K. Gilson; Michael J. Potter; Mark S. Gordon; Simon P. Webb,2025,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2025-02WRF,On the Thermodynamics of Water Displacement from Binding Sites and its Contributions to Supramolecular and Biomolecular Affinity,Jeffry Setiadi; Frank Biedermann; Werner Nau; Michael K. Gilson,2025,,,0000-0002-3375-1738,1
10.1021/ACS.JCTC.5C00978,GOPAL: A Water Model with Improved Thermodynamic Properties over a Large Pressure and Temperature Range Optimized Using Multistate Reweighting and Configuration Space Mapping,Himanshu Paliwal; Michael R. Shirts,2025,,,0000-0003-3249-1097,1
10.1016/J.MEMSCI.2025.124358,Molecular details of ion de-coordination at elevated salinity and pressure and consequences for membrane separations,Nathanael S. Schwindt; Razi Epsztein; Anthony P. Straub; Shuwen Yue; Michael R. Shirts,2025,,,0000-0003-3249-1097,1
10.1021/ACS.JCTC.5C00646,Force Switching and Potential Shifting Lead to Significant Cutoff Dependence in Alchemical Free Energies,Lindsey M. Whitmore; Yalda Ramezani; Sumit Sharma; Michael R. Shirts,2025,,,0000-0003-3249-1097,1
10.1101/2025.05.09.653163,Nonspecific interactions can lead to liquid-liquid phase separation in coiled-coil proteins models,Dominique A. Ramirez; Anastasia Shrimpton; Michael R. Shirts; Loren E. Hough,2025,,,0000-0003-3249-1097,1
10.1021/ACS.JCTC.4C01612,Accurate Lattice Free Energies of Packing Polymorphs from Probabilistic Generative Models,Edgar Olehnovics; Yifei Michelle Liu; Nada Mehio; Ahmad Y. Sheikh; Michael R. Shirts; Matteo Salvalaglio,2025,,,0000-0003-3249-1097,1
10.1021/ACS.JCTC.4C01268,Multiple Topology Replica Exchange of Expanded Ensembles for Multidimensional Alchemical Calculations,Anika J. Friedman; Wei-Tse Hsu; Michael R. Shirts,2025,,,0000-0003-3249-1097,1
10.1063/5.0211032,STORMM: Structure and topology replica molecular mechanics for chemical simulations,David S. Cerutti; Rafal Wiewiora; Simon Boothroyd; Woody Sherman,2024,,,0000-0002-3456-1872,1
10.1101/2024.03.27.587048,STORMM: Structure and TOpology Replica Molecular Mechanics for chemical simulations,David Shawkey Cerutti; Simon Boothroyd; Rafal Wiewiora; Woody Sherman,2024,,,0000-0002-3456-1872,1
